Lagerstroemia indica, not metaphorical, multiword expression
Punicea, not metaphorical, not multiword expression
Drama, metaphorical, not multiword expression
Viola, not metaphorical, not multiword expression
Viburnum rhytidophyllum, not metaphorical, multiword expression
Pittosporum dallii, metaphorical, multiword expression
Cherry Ripe, not metaphorical, multiword expression
Red velvet, not metaphorical, multiword expression
Brooklime, not metaphorical, not multiword expression
Prunus x yedoensis, not metaphorical, multiword expression
Phyllodoce, not metaphorical, not multiword expression
Envy, metaphorical, not multiword expression
Canada hemlock, not metaphorical, multiword expression
Catmint, metaphorical, not multiword expression
Verbena peruviana, not metaphorical, multiword expression
Revolutum, metaphorical, not multiword expression
Fetterbush, not metaphorical, not multiword expression
Dart’s gold, metaphorical, multiword expression
Little Carlow, metaphorical, multiword expression
Eucryphia cordifolia, not metaphorical, multiword expression
Old man, metaphorical, multiword expression
Korberbeni, not metaphorical, not multiword expression
Hesperis matronalis, not metaphorical, multiword expression
Thelocactus bicolor, not metaphorical, multiword expression
Orion, not metaphorical, not multiword expression
Canarina canariensis, not metaphorical, multiword expression
Prunus persica, metaphorical, multiword expression
Fathead, metaphorical, not multiword expression
Veronica prostrata, not metaphorical, multiword expression
Phyllostachys aurea, not metaphorical, multiword expression
Dichelostemma congestum, not metaphorical, multiword expression
Sarcococca, not metaphorical, not multiword expression
Campsis radicans f. ﬂava, not metaphorical, multiword expression
Pearl millet, metaphorical, multiword expression
Persicaria polymorpha, not metaphorical, multiword expression
Blue Danube, metaphorical, multiword expression
Paphiopedilum Lyric gx, not metaphorical, multiword expression
Cotoneaster horizontalis, metaphorical, multiword expression
Picea likiangensis, not metaphorical, multiword expression
Echinopsis aurea, metaphorical, multiword expression
Allegheny vine, not metaphorical, multiword expression
Chocolate mint, metaphorical, multiword expression
Globba winitii, not metaphorical, multiword expression
Regal splendour,  metaphorical, multiword expression
Harpaint, not metaphorical, not multiword expression
Colchicum speciosum, not metaphorical, multiword expression
Japanese banana, not metaphorical, multiword expression
Buxus balearica, not metaphorical, multiword expression
Kiftsgate, not metaphorical, not multiword expression
Golden Hornet, metaphorical, multiword expression
Aloha, not metaphorical, not multiword expression
Deinanthe biﬁda, not metaphorical, multiword expression
Dumpling cactus, metaphorical, multiword expression
Bladder senna, not metaphorical, multiword expression
Agapanthus inapertus, not metaphorical, multiword expression
Calathea zebrina, metaphorical, multiword expression
Cistus, not metaphorical, not multiword expression
Lychnis coronaria, metaphorical, multiword expression
Hyacinthoides x massartiana, not metaphorical, multiword expression
Erythrina crista-galli, not metaphorical, multiword expression
Morus alba, not metaphorical, multiword expression
Betula lenta, metaphorical, multiword expression
August Moon, metaphorical, multiword expression
Allium neapolitanum, not metaphorical, multiword expression
Christine’s Pink, metaphorical, multiword expression
Wake-robin, metaphorical, multiword expression
Amaryllis belladonna, not metaphorical, multiword expression
Marmalade Bush, metaphorical, multiword expression
Physocarpus opulifolius, not metaphorical, multiword expression
Rainbow, metaphorical, not multiword expression
Birthroot, metaphorical, not multiword expression
Sanguinaria canadensis, not metaphorical, multiword expression
Magnolia Black tulip, not metaphorical, multiword expression
Papaver fauriei, not metaphorical, multiword expression
Bromelia balansae, not metaphorical, multiword expression
Erysimum x allionii, not metaphorical, multiword expression
Percy’s Pride, metaphorical, multiword expression
Actaea pachypoda, not metaphorical, multiword expression
Bruno, not metaphorical, not multiword expression
Arenaria purpurascens, not metaphorical, multiword expression
The Chatelaine, not metaphorical, multiword expression
HS Wink, not metaphorical, multiword expression
Italian maple, not metaphorical, multiword expression
Roma, not metaphorical, not multiword expression
S. commixta, not metaphorical, multiword expression
Stephanandra tanakae, not metaphorical, multiword expression
Snow Storm, metaphorical, multiword expression
Echinocereus reichenbachii, not metaphorical, multiword expression
Donard beauty, metaphorical, multiword expression
Irish moss, not metaphorical, multiword expression
subsp. pendulus, not metaphorical, multiword expression
Rose de Mai, metaphorical, multiword expression
Sybil Sherwood, not metaphorical, multiword expression
Jacobean lily, not metaphorical, multiword expression
Allium acuminatum, not metaphorical, multiword expression
Crotalaria agatiﬂora, not metaphorical, multiword expression
Conophytum concordans, not metaphorical, multiword expression
Eveline, not metaphorical, not multiword expression
Korzaun,  not metaphorical, not multiword expression
Gallery art nouveau, metaphorical, multiword expression
Erodium manescavii, not metaphorical, multiword expression
Heidebraut, not metaphorical, not multiword expression
Oenothera fruticose, not metaphorical, multiword expression
Wagon Wheel, not metaphorical, multiword expression
Atrosanguineum, metaphorical, not multiword expression
Phlomis italica, not metaphorical, multiword expression
Gerald Darby, not metaphorical, multiword expression
Actinidia kolomikta, not metaphorical, multiword expression
Moss campion, not metaphorical, multiword expression
Actinidia deliciosa, metaphorical, multiword expression
Granat, metaphorical, not multiword expression
Veronica spicata, not metaphorical, multiword expression
Superba, not metaphorical, not multiword expression
Photograph, metaphorical, not multiword expression
Viola Joker Series, not metaphorical, multiword expression
Allium ﬂavum, not metaphorical, multiword expression
Living rock, metaphorical, multiword expression
Anchusa azurea, not metaphorical, multiword expression
Kangaroo vine, metaphorical, multiword expression
Leucadendron argenteum, metaphorical, multiword expression
Lijiang spruce, not metaphorical, multiword expression
Olea europaea, not metaphorical, multiword expression
Colquhounia coccinea, not metaphorical, multiword expression
Paeonia mlokosewitschii, not metaphorical, multiword expression
Haytor White, metaphorical, multiword expression
Water hyacinth, not metaphorical, multiword expression
Broadway star, metaphorical, multiword expression
Mount Wellington peppermint, not metaphorical, multiword expression
Belle Epoque, metaphorical, multiword expression
Burkwoodii, not metaphorical, not multiword expression
Juniperus scopulorum, not metaphorical, multiword expression
Boothman’s Variety, not metaphorical, multiword expression
Strathkanaid gx, not metaphorical, multiword expression
Japanese maple, not metaphorical, multiword expression
Colchicum autumnale, not metaphorical, multiword expression
Madame Isaac Pereire, not metaphorical, multiword expression
Albidum, not metaphorical, not multiword expression
Star Fighter, metaphorical, multiword expression
Zantedeschia elliottiana, not metaphorical, multiword expression
Crocus sieberi, not metaphorical, multiword expression
Mammillaria elongate, not metaphorical, multiword expression
Columnaris, not metaphorical, not multiword expression
Jerusalem sage, metaphorical, multiword expression
Perle d’Azur, metaphorical, multiword expression
Thelocactus setispinus, not metaphorical, multiword expression
Gravetye beauty, metaphorical, multiword expression
Campanula wanneri, metaphorical, multiword expression
Cornish Snow, metaphorical, multiword expression
Crotonifolia, not metaphorical, not multiword expression
Crewdson hybrid, not metaphorical, multiword expression
Ardisia crenata, not metaphorical, multiword expression
Prickly Moses, metaphorical, multiword expression
Salix magnifica, metaphorical, multiword expression
Lonicera x Americana, not metaphorical, multiword expression
Nautilocalyx lynchii, not metaphorical, multiword expression
Gesneriaceae, not metaphorical, not multiword expression
Spartina pectinate, not metaphorical, multiword expression
Jacob’s coat, metaphorical, multiword expression
Menyanthes trifoliate, not metaphorical, multiword expression
Passiﬂora coccinea, not metaphorical, multiword expression
Tetrastigma voinierianum, not metaphorical, multiword expression
Euphorbia characias subsp. characias, not metaphorical, multiword expression
Talica, not metaphorical, not multiword expression
Lubecca, not metaphorical, not multiword expression
Aechmea fasciata, not metaphorical, multiword expression
Jasminum ofﬁcinale f. afﬁne, not metaphorical, multiword expression
Fastuosum Flore Pleno, not metaphorical, multiword expression
Bacciﬂava, not metaphorical, not multiword expression
Butterﬂy weed, metaphorical, multiword expression
Tuttlei, not metaphorical, not multiword expression
